ORIGIN,DEST,ON_TIME,DELAYED15MIN,DIVERTED,CANCELLED,TOTAL
SDF,BNA,0,0,0,1,1
SDF,BOS,0,2,0,0,2
SDF,BWI,3218,490,9,45,3762
SDF,CLE,1689,322,1,15,2027
SDF,CLT,2298,287,1,46,2632
SDF,CVG,359,91,0,5,455
SDF,DEN,1371,410,21,11,1813
SDF,DFW,3484,636,20,79,4219
SDF,DTW,656,138,0,11,805
SDF,EWR,1772,898,11,157,2838
SDF,IAD,481,159,2,3,645
SDF,IAH,2444,568,7,20,3039
SDF,IND,0,0,1,0,1
SDF,LAS,977,119,0,0,1096
SDF,LGA,1,3,0,1,5
SDF,MCO,1001,126,1,0,1128
SDF,MDW,4015,713,6,41,4775
SDF,MEM,639,83,2,11,735
SDF,MIA,1132,260,5,18,1415
SDF,MSP,616,339,3,26,984
SDF,ORD,2802,675,4,89,3570
SDF,PHX,987,102,1,2,1092
SDF,STL,1635,338,4,6,1983
SDF,TPA,1045,113,1,0,1159
SEA,ABQ,1767,221,5,4,1997
SEA,ANC,15293,2596,24,86,17999
SEA,ATL,7153,1185,27,34,8399
SEA,AUS,926,151,1,1,1079
SEA,BDL,1,0,0,0,1
SEA,BNA,434,54,2,0,490
SEA,BOI,1181,201,1,2,1385
SEA,BOS,2449,542,2,22,3015
SEA,BUR,2979,207,3,6,3195
SEA,BWI,743,171,3,3,920
SEA,CLE,384,78,3,0,465
SEA,CLT,1616,484,8,17,2125
SEA,COS,68,20,0,0,88
SEA,CVG,884,85,2,4,975
SEA,DCA,1872,279,9,19,2179
SEA,DEN,14905,2051,34,80,17070
SEA,DFW,9327,1647,72,93,11139
SEA,DTW,3352,469,10,11,3842
SEA,EWR,4628,1213,18,72,5931
SEA,FAI,2812,446,7,3,3268
SEA,FAT,516,78,2,2,598
SEA,FLL,160,9,0,0,169
SEA,GEG,5381,665,10,66,6122
SEA,HNL,3846,868,24,3,4741
SEA,HOU,62,8,0,0,70
SEA,IAD,2840,390,6,36,3272
