ORIGIN,DEST,ON_TIME,DELAYED15MIN,DIVERTED,CANCELLED,TOTAL
SFO,MSO,326,72,0,6,404
SFO,MSP,5875,1036,16,51,6978
SFO,MSY,490,184,1,8,683
SFO,OGG,2066,482,9,16,2573
SFO,OKC,366,118,2,3,489
SFO,OMA,1,0,0,0,1
SFO,ONT,3125,1079,4,163,4371
SFO,ORD,16174,4696,52,330,21252
SFO,OTH,1417,938,31,66,2452
SFO,PDX,6852,1948,6,75,8881
SFO,PHL,6259,1606,17,112,7994
SFO,PHX,12065,2612,9,196,14882
SFO,PIT,818,260,1,11,1090
SFO,PSC,1672,398,6,52,2128
SFO,PSP,4366,1623,15,110,6114
SFO,RDD,3034,1447,6,200,4687
SFO,RDM,2041,761,8,44,2854
SFO,RDU,77,60,0,1,138
SFO,RNO,4352,1341,10,181,5884
SFO,SAN,14282,4115,43,381,18821
SFO,SAT,1077,554,1,6,1638
SFO,SBA,5650,2676,28,365,8719
SFO,SBP,3584,1498,12,249,5343
SFO,SEA,12728,3225,5,103,16061
SFO,SLC,7240,2411,13,165,9829
SFO,SMF,4761,2415,5,468,7649
SFO,SNA,10358,2720,30,447,13555
SFO,STL,761,370,3,8,1142
SFO,TUS,1280,460,1,26,1767
SGF,ATL,3254,607,7,52,3920
SGF,DEN,1848,376,11,46,2281
SGF,DFW,6691,1181,22,193,8087
SGF,DTW,65,17,0,1,83
SGF,MCI,1,0,0,0,1
SGF,MEM,1755,231,4,50,2040
SGF,MSP,58,9,0,1,68
SGF,ORD,4871,1138,9,228,6246
SGF,XNA,0,0,0,1,1
SGU,LAX,394,170,1,6,571
SGU,SLC,5124,582,7,51,5764
SHD,MCO,16,2,0,0,18
SHV,ATL,4380,799,16,118,5313
SHV,BKG,37,8,0,0,45
SHV,DEN,107,18,0,0,125
SHV,DFW,3514,496,3,131,4144
SHV,GJT,0,1,0,0,1
SHV,IAH,2568,352,9,50,2979
SHV,MEM,2406,318,0,68,2792
SHV,MLU,0,1,0,0,1
SHV,ORD,1,1,1,0,3
SHV,XNA,1,1,1,0,3
SIT,ANC,1,1,0,0,2
SIT,JNU,1828,281,39,25,2173
SIT,KTN,918,149,10,14,1091
SIT,SEA,495,48,1,9,553
SJC,ATL,832,147,2,10,991
SJC,AUS,1956,263,3,2,2224
SJC,BOS,593,148,2,9,752
SJC,BUR,7112,1020,8,220,8360
SJC,DEN,7077,1014,18,66,8175
SJC,DFW,4750,869,34,71,5724
SJC,HNL,1115,168,2,0,1285
SJC,IAH,2336,249,15,4,2604
SJC,JFK,788,223,6,23,1040
SJC,KOA,481,29,0,1,511
SJC,LAS,7700,1165,1,55,8921
SJC,LAX,16289,2886,13,271,19459
SJC,LGB,10,2,0,0,12
SJC,LIH,406,40,0,0,446
SJC,MDW,985,107,3,6,1101
SJC,MRY,0,0,1,3,4
SJC,MSP,1607,212,3,12,1834
SJC,OGG,912,74,0,0,986
SJC,ONT,4466,784,4,62,5316
SJC,ORD,1698,355,5,30,2088
SJC,PDX,5009,805,5,24,5843
SJC,PHX,9834,1180,7,127,11148
SJC,RNO,1825,321,4,11,2161
SJC,SAN,8261,1496,27,128,9912
SJC,SBA,588,51,1,13,653
SJC,SEA,7079,807,7,31,7924
SJC,SLC,3907,404,3,21,4335
SJC,SNA,6860,801,7,67,7735
SJT,DFW,1367,239,0,38,1644
SJU,ATL,5923,824,34,36,6817
SJU,BDL,887,282,4,11,1184
SJU,BOS,2529,951,12,47,3539
SJU,BWI,1679,240,5,21,1945
SJU,CLE,105,16,1,0,122
SJU,CLT,2059,495,13,26,2593
SJU,DCA,101,27,1,2,131
SJU,DFW,1887,268,12,11,2178
SJU,DTW,84,24,0,1,109
SJU,EWR,2040,449,12,36,2537
SJU,FLL,3142,897,9,24,4072
SJU,IAD,1481,350,8,32,1871
SJU,IAH,1048,333,6,6,1393
SJU,JAX,466,111,4,1,582
SJU,JFK,9130,2824,37,213,12204
SJU,LAX,189,76,2,0,267
SJU,MCO,7239,1879,16,33,9167
SJU,MEM,20,8,0,0,28
SJU,MIA,6459,1720,31,77,8287
SJU,MSP,55,16,3,0,74
SJU,ORD,1905,337,18,16,2276
SJU,PBI,204,24,0,3,231
SJU,PHL,3118,889,13,66,4086
SJU,STT,653,117,0,2,772
SJU,STX,305,81,0,0,386
SJU,TPA,2175,526,4,8,2713
SLC,ABQ,4787,559,9,16,5371
SLC,ANC,1137,205,2,2,1346
SLC,ASE,70,21,5,4,100
SLC,ATL,7212,1238,28,49,8527
SLC,AUS,1395,221,0,2,1618
SLC,BIL,4282,372,13,12,4679
SLC,BIS,329,36,1,2,368
SLC,BNA,902,172,6,9,1089
SLC,BOI,5902,960,9,40,6911
SLC,BOS,1169,300,2,15,1486
SLC,BTM,1960,164,22,59,2205
SLC,BUR,2879,287,5,8,3179
SLC,BWI,2659,378,13,29,3079
SLC,BZN,4274,436,17,12,4739
SLC,CDC,1682,235,4,17,1938
SLC,CLT,427,96,1,4,528
SLC,COD,1662,178,16,20,1876
SLC,COS,2118,238,7,8,2371
SLC,CPR,2073,177,8,14,2272
SLC,CVG,2126,299,7,18,2450
SLC,DCA,1114,138,7,16,1275
SLC,DEN,20242,3982,40,127,24391
SLC,DFW,7545,1251,52,104,8952
SLC,DHN,4,0,0,0,4
SLC,DTW,3768,552,7,20,4347
SLC,EKO,3299,400,12,59,3770
SLC,ELP,60,10,0,0,70
SLC,EUG,1873,199,2,2,2076
SLC,EWR,1322,413,11,22,1768
SLC,FAI,40,13,0,0,53
SLC,FAR,1115,155,2,9,1281
SLC,FAT,2695,283,3,9,2990
SLC,FCA,3163,322,11,14,3510
SLC,FLL,74,9,0,0,83
SLC,GCC,944,148,1,3,1096
SLC,GEG,4893,707,18,30,5648
SLC,GJT,2412,211,5,16,2644
SLC,GTF,2705,267,3,5,2980
SLC,GUC,38,12,0,1,51
SLC,HDN,54,6,1,2,63
SLC,HLN,2649,286,5,7,2947
SLC,HNL,910,182,2,0,1094
SLC,IAD,1169,272,2,19,1462
SLC,IAH,5035,1100,18,30,6183
SLC,IDA,4799,511,6,53,5369
SLC,IND,929,130,3,4,1066
SLC,JAC,2955,510,7,72,3544
SLC,JFK,4507,1000,24,81,5612
SLC,LAS,12017,2139,4,35,14195
SLC,LAX,12760,2578,13,44,15395
SLC,LGA,19,1,1,0,21
SLC,LGB,6671,947,19,35,7672
SLC,LWS,1924,156,2,6,2088
SLC,MCI,1989,324,8,16,2337
SLC,MCO,1840,263,7,3,2113
SLC,MDW,1907,247,13,11,2178
SLC,MEM,1535,255,3,5,1798
SLC,MFR,1841,245,1,10,2097
SLC,MOT,226,25,1,1,253
SLC,MSO,4088,402,14,14,4518
SLC,MSP,4648,664,9,41,5362
SLC,MSY,859,225,1,6,1091
SLC,MTJ,159,15,1,1,176
SLC,OAK,7714,1206,2,39,8961
SLC,OGG,35,24,0,0,59
SLC,OKC,2170,420,6,14,2610
SLC,OMA,1685,306,2,9,2002
SLC,ONT,3885,429,7,18,4339
SLC,ORD,7163,1928,23,132,9246
SLC,PDX,6891,1201,12,22,8126
SLC,PHL,1183,254,4,20,1461
SLC,PHX,16380,2441,13,132,18966
SLC,PIH,3277,353,9,40,3679
SLC,PSC,3911,396,12,19,4338
SLC,PSP,2089,250,7,6,2352
SLC,RAP,1700,158,6,17,1881
SLC,RDM,1837,205,6,9,2057
SLC,RKS,1783,387,8,12,2190
SLC,RNO,5085,796,13,32,5926
SLC,SAN,4480,768,8,28,5284
SLC,SAT,1803,415,7,5,2230
SLC,SBA,433,39,0,0,472
SLC,SEA,8325,1525,2,38,9890
SLC,SFO,6029,2536,10,137,8712
SLC,SGU,4889,835,15,21,5760
SLC,SJC,3827,491,2,14,4334
SLC,SMF,4514,657,6,12,5189
SLC,SNA,4267,604,8,35,4914
SLC,STL,1855,425,7,19,2306
SLC,SUN,4809,587,457,130,5983
SLC,TPA,12,0,0,0,12
SLC,TUL,1046,192,1,9,1248
SLC,TUS,3086,341,8,8,3443
SLC,TWF,3405,432,6,26,3869
SLC,WYS,753,57,1,4,815
SMF,ACV,1378,345,24,106,1853
SMF,ATL,1604,309,12,11,1936
SMF,BUR,7100,999,15,142,8256
SMF,CEC,3,0,0,0,3
SMF,CIC,1,0,1,0,2
SMF,CLT,186,53,1,1,241
SMF,DEN,9647,1274,19,52,10992
SMF,DFW,3658,561,32,50,4301
SMF,DTW,128,31,1,1,161
SMF,HNL,905,187,4,0,1096
SMF,IAD,941,134,6,15,1096
SMF,IAH,2596,431,14,5,3046
SMF,JFK,627,255,2,18,902
SMF,LAS,7228,1086,4,17,8335
SMF,LAX,14348,2572,12,124,17056
SMF,LGB,2221,302,2,11,2536
SMF,MDW,1065,158,6,8,1237
SMF,MSP,1897,250,1,24,2172
SMF,OGG,975,97,6,0,1078
SMF,ONT,6852,1106,2,83,8043
SMF,ORD,1771,333,7,16,2127
SMF,PDX,5186,867,3,9,6065
SMF,PHL,369,82,6,3,460
SMF,PHX,9919,1294,11,69,11293
SMF,RNO,0,0,0,1,1
SMF,SAN,9370,1574,32,137,11113
SMF,SEA,7693,942,3,36,8674
SMF,SFO,4544,2607,4,498,7653
SMF,SLC,4680,476,5,26,5187
SMF,SNA,5758,736,8,33,6535
SMX,LAX,3540,446,1,150,4137
SNA,ATL,4377,386,20,42,4825
SNA,COS,1,0,0,0,1
SNA,DEN,10592,1488,24,79,12183
SNA,DFW,9152,1184,73,204,10613
SNA,DTW,200,15,1,4,220
SNA,EWR,2181,571,26,53,2831
SNA,HNL,321,167,1,3,492
SNA,HOU,53,4,1,0,58
SNA,IAH,4128,613,28,31,4800
SNA,JFK,62,33,1,2,98
SNA,LAS,6723,1105,6,72,7906
SNA,MDW,743,121,1,5,870
SNA,MMH,56,8,0,15,79
SNA,MSP,2719,267,11,13,3010
SNA,OAK,6438,1081,3,67,7589
SNA,OGG,245,54,2,0,301
SNA,ORD,5142,1209,56,120,6527
SNA,PDX,3759,200,1,10,3970
SNA,PHX,13672,1647,3,104,15426
SNA,RNO,0,1,0,0,1
SNA,SEA,7311,432,2,41,7786
SNA,SFO,9392,3775,12,477,13656
SNA,SJC,6553,1120,0,64,7737
SNA,SLC,4447,424,6,37,4914
SNA,SMF,5580,942,3,40,6565
SPI,DFW,1033,158,4,23,1218
SPI,ORD,3749,674,3,235,4661
SPI,STL,0,0,1,0,1
SPN,GUM,4,1,0,0,5
SPS,DFW,1393,213,0,73,1679
SRQ,ATL,7247,1157,17,72,8493
SRQ,BOS,428,128,0,11,567
SRQ,BWI,544,61,1,7,613
SRQ,CLT,1508,142,3,12,1665
SRQ,CVG,132,17,0,3,152
SRQ,DTW,224,59,1,3,287
SRQ,IND,356,50,2,5,413
SRQ,JFK,1326,335,6,41,1708
SRQ,LGA,121,97,3,3,224
SRQ,MDW,1370,177,8,10,1565
SRQ,MKE,273,76,2,3,354
SRQ,ORD,43,15,0,0,58
STL,ABE,0,0,1,0,1
STL,ABQ,887,202,0,3,1092
STL,ATL,9973,1737,21,159,11890
STL,BHM,884,204,3,5,1096
STL,BNA,1580,350,1,13,1944
STL,BOS,1888,522,6,25,2441
STL,BWI,3808,1028,14,66,4916
STL,CLE,758,260,2,10,1030
STL,CLT,3932,620,5,63,4620
STL,CMH,1480,483,1,8,1972
STL,CVG,786,94,0,11,891
STL,DAL,6686,1644,25,67,8422
STL,DCA,3747,801,22,180,4750
STL,DEN,6014,1187,24,39,7264
STL,DFW,7924,1264,22,202,9412
STL,DTW,4397,1021,9,64,5491
STL,ECP,56,14,0,0,70
STL,EWR,4097,1854,22,283,6256
STL,FLL,955,187,5,5,1152
STL,HOU,3212,683,10,20,3925
STL,IAD,126,31,0,1,158
STL,IAH,2359,564,11,33,2967
STL,JFK,685,207,9,51,952
STL,LAS,3469,573,5,15,4062
STL,LAX,4019,933,14,38,5004
STL,LGA,3377,771,20,151,4319
STL,LIT,1511,435,0,11,1957
STL,MCI,4003,842,7,26,4878
STL,MCO,4036,787,8,14,4845
STL,MDW,7788,1789,18,102,9697
STL,MEM,1588,243,2,71,1904
STL,MIA,1932,327,6,64,2329
STL,MKE,2139,423,3,66,2631
STL,MLI,0,1,0,0,1
STL,MSP,5185,1009,4,62,6260
STL,MSY,799,162,1,6,968
STL,OKC,1493,440,6,11,1950
STL,OMA,2359,602,4,14,2979
STL,ORD,8304,1868,12,333,10517
STL,PHL,1690,553,5,32,2280
STL,PHX,5637,868,18,36,6559
STL,PIA,0,1,0,1,2
STL,RDU,873,277,2,14,1166
STL,RSW,963,192,2,4,1161
STL,SAN,605,179,3,3,790
STL,SAT,225,39,0,0,264
STL,SDF,1421,533,0,6,1960
STL,SEA,1586,320,4,9,1919
STL,SFO,759,370,3,10,1142
STL,SLC,2040,340,7,23,2410
STL,TPA,1799,432,3,11,2245
STL,TUL,1524,449,6,14,1993
STT,ATL,1501,218,23,14,1756
STT,BOS,263,62,0,4,329
STT,CLT,1048,193,16,15,1272
STT,EWR,530,110,4,9,653
STT,IAD,98,13,1,1,113
STT,JFK,812,228,10,13,1063
STT,MIA,2235,403,10,29,2677
STT,ORD,32,30,3,0,65
STT,PHL,422,148,5,11,586
STT,SJU,963,141,0,8,1112
STX,ATL,77,35,13,2,127
STX,CLT,43,17,1,0,61
STX,MIA,1332,263,5,19,1619
STX,SJU,334,52,0,0,386
SUN,SLC,4840,557,8,569,5974
SUX,MSP,138,15,0,5,158
SUX,ORD,408,92,0,9,509
SWF,ATL,1092,268,4,39,1403
SWF,DTW,817,169,3,48,1037
SWF,EWR,0,1,0,0,1
SWF,FLL,819,250,4,14,1087
SWF,MCO,1137,208,1,22,1368
SYR,ATL,2409,568,10,49,3036
SYR,BOS,0,1,0,0,1
SYR,CLE,462,116,0,5,583
SYR,CLT,1911,361,1,29,2302
SYR,CVG,211,58,0,4,273
SYR,DCA,111,31,0,3,145
SYR,DTW,1139,301,1,33,1474
SYR,EWR,586,192,0,25,803
SYR,IAD,1433,245,0,50,1728
SYR,JFK,3861,1046,3,168,5078
SYR,LGA,33,17,0,7,57
SYR,MCO,1422,326,2,12,1762
SYR,MSP,65,11,1,5,82
SYR,ORD,5737,1444,21,229,7431
SYR,PHL,379,106,0,7,492
TEX,PHX,263,38,0,43,344
TLH,ATL,7421,1777,7,176,9381
TLH,CLT,32,2,0,3,37
TLH,DFW,963,265,6,21,1255
TLH,FLL,693,215,3,17,928
TLH,MEM,710,102,6,15,833
TLH,MIA,2103,577,3,69,2752
TOL,DTW,28,2,0,1,31
TOL,MSP,0,1,0,0,1
TOL,ORD,1095,240,0,51,1386
TPA,ALB,912,193,4,7,1116
TPA,ATL,18174,2897,26,187,21284
TPA,AUS,913,177,2,0,1092
TPA,AVL,156,18,1,0,175
TPA,BDL,1822,391,1,27,2241
TPA,BHM,1710,333,3,5,2051
TPA,BNA,3668,594,4,13,4279
TPA,BOS,3030,743,1,47,3821
TPA,BUF,1587,304,2,3,1896
TPA,BWI,7494,1314,27,109,8944
TPA,CAK,986,131,1,5,1123
TPA,CLE,1423,156,0,7,1586
TPA,CLT,7623,1146,6,51,8826
TPA,CMH,2186,351,1,3,2541
TPA,CVG,1482,125,0,17,1624
TPA,DAY,464,80,1,1,546
TPA,DCA,4349,702,12,82,5145
TPA,DEN,4342,628,14,14,4998
TPA,DFW,6274,1082,31,101,7488
TPA,DTW,4598,610,9,32,5249
TPA,EWR,5171,1599,27,123,6920
TPA,EYW,587,46,1,3,637
TPA,FLL,6055,1089,10,39,7193
TPA,FNT,488,65,0,0,553
TPA,GPT,159,24,1,0,184
TPA,GRR,358,28,1,1,388
TPA,HOU,3410,681,11,17,4119
TPA,HPN,886,176,5,29,1096
TPA,IAD,2865,481,10,46,3402
TPA,IAH,4593,545,18,24,5180
TPA,IND,3126,445,9,14,3594
TPA,ISP,2076,357,11,36,2480
TPA,JAX,1993,350,1,4,2348
TPA,JFK,5955,1266,19,165,7405
TPA,LAS,1751,206,2,0,1959
TPA,LAX,825,202,3,4,1034
TPA,LGA,3417,925,36,118,4496
TPA,MCI,1587,261,7,7,1862
TPA,MDW,4281,740,24,32,5077
TPA,MEM,1553,223,1,26,1803
TPA,MHT,1676,325,4,8,2013
TPA,MIA,5871,1038,11,89,7009
TPA,MKE,2006,320,6,11,2343
TPA,MSP,2355,417,7,15,2794
TPA,MSY,2660,474,4,11,3149
TPA,ORD,5212,1082,16,61,6371
TPA,ORF,959,129,4,4,1096
TPA,PBI,3146,714,5,13,3878
TPA,PHL,7103,1521,24,129,8777
TPA,PHX,2885,505,6,8,3404
TPA,PIT,2281,428,3,13,2725
TPA,PVD,2017,321,3,19,2360
TPA,RDU,2875,449,8,27,3359
TPA,ROC,843,150,4,1,998
TPA,SAT,875,200,7,0,1082
TPA,SDF,964,195,0,0,1159
TPA,SJU,2400,298,6,10,2714
TPA,SLC,8,4,0,0,12
TPA,STL,1867,366,3,8,2244
TRI,ATL,6384,1320,7,135,7846
TRI,CLT,16,1,1,1,19
TRI,CRW,0,0,0,1,1
TRI,DTW,454,45,1,10,510
TRI,ORD,883,149,3,41,1076
TRI,ROA,1,0,1,0,2
TTN,MCO,7,7,0,0,14
TUL,ATL,2994,722,10,96,3822
TUL,CID,1,0,0,0,1
TUL,CLL,0,0,1,0,1
TUL,DAL,4862,699,6,57,5624
TUL,DEN,5844,1036,18,73,6971
TUL,DFW,7531,966,13,181,8691
TUL,DTW,1504,330,3,44,1881
TUL,EWR,849,97,5,29,980
TUL,HOU,2877,429,5,22,3333
TUL,IAD,367,89,4,4,464
TUL,IAH,5869,976,11,116,6972
TUL,LAS,1021,102,1,3,1127
TUL,LAX,703,134,2,13,852
TUL,LIT,0,1,0,0,1
TUL,MEM,1755,161,4,44,1964
TUL,MIA,71,12,1,1,85
TUL,MKE,0,0,1,0,1
TUL,MSP,915,241,1,29,1186
TUL,ORD,6518,1533,20,278,8349
TUL,PHX,1887,250,1,11,2149
TUL,SLC,1046,190,1,13,1250
TUL,STL,1693,319,3,9,2024
TUL,XNA,0,0,0,1,1
TUP,MEM,1,0,0,0,1
TUS,ABQ,1792,272,2,2,2068
TUS,ASE,1,0,0,0,1
TUS,ATL,1819,294,6,13,2132
TUS,BUR,0,1,0,0,1
TUS,BWI,54,4,0,0,58
TUS,DEN,6825,963,15,48,7851
TUS,DFW,6382,849,27,98,7356
TUS,IAH,3899,611,18,34,4562
TUS,LAS,4540,675,3,10,5228
TUS,LAX,9841,1631,9,55,11536
TUS,MDW,1624,203,7,9,1843
TUS,MSP,886,157,1,6,1050
TUS,ORD,1824,326,13,21,2184
TUS,PHX,9623,916,2,127,10668
TUS,SAN,2796,501,8,7,3312
TUS,SEA,1045,91,1,2,1139
TUS,SFO,1405,339,7,18,1769
TUS,SLC,3140,285,4,15,3444
TVC,CLE,0,0,0,1,1
TVC,DEN,190,49,1,0,240
TVC,DTW,1600,368,5,56,2029
TVC,IAD,0,0,0,1,1
TVC,LGA,86,29,0,6,121
TVC,MQT,295,107,2,13,417
TVC,MSP,636,98,2,16,752
TVC,ORD,4569,1093,6,227,5895
TWF,SLC,3458,400,5,35,3898
TXK,DFW,2653,354,1,113,3121
TYR,DFW,2763,398,4,92,3257
TYR,IAH,475,63,2,16,556
TYS,ATL,6354,1571,6,162,8093
TYS,BNA,0,1,0,0,1
TYS,CLE,446,109,2,4,561
TYS,CLT,19,2,0,1,22
TYS,CVG,499,83,2,10,594
TYS,DEN,1337,200,11,7,1555
TYS,DFW,3720,760,30,102,4612
TYS,DTW,746,140,1,12,899
TYS,EWR,731,468,5,23,1227
TYS,GSP,0,2,0,0,2
TYS,IAD,2134,414,6,67,2621
TYS,IAH,2651,672,13,15,3351
TYS,LGA,352,57,2,28,439
TYS,MCO,628,72,2,3,705
TYS,MEM,1145,231,2,32,1410
TYS,MIA,860,85,2,14,961
TYS,MSP,283,60,1,6,350
TYS,ORD,6530,1465,22,281,8298
TYS,ROA,0,0,0,1,1
TYS,TRI,0,0,1,0,1
UTM,ATL,175,29,0,4,208
VLD,ATL,2536,530,3,50,3119
VPS,ATL,8055,2182,13,188,10438
VPS,CLT,25,5,0,0,30
VPS,DFW,4731,958,27,131,5847
VPS,IAH,2176,618,10,39,2843
VPS,MEM,1217,193,4,30,1444
WRG,KTN,927,126,4,31,1088
WRG,PSG,888,171,14,13,1086
WYS,SLC,781,26,1,7,815
XNA,ATL,4681,904,9,138,5732
XNA,CLT,2,0,0,0,2
XNA,CVG,538,48,1,7,594
XNA,DEN,1431,212,6,42,1691
XNA,DFW,7101,1281,20,270,8672
XNA,DTW,721,139,7,19,886
XNA,EWR,942,517,5,120,1584
XNA,IAH,2804,625,13,72,3514
XNA,LGA,1792,392,15,121,2320
XNA,MEM,1756,297,4,62,2119
XNA,MSP,1252,160,4,31,1447
XNA,ORD,7306,1996,19,376,9697
XNA,SHV,0,2,0,0,2
YAK,CDV,890,156,20,19,1085
YAK,JNU,945,97,23,19,1084
YUM,IPL,362,41,0,8,411
YUM,LAX,3520,597,9,41,4167
YUM,PHX,5658,503,0,147,6308
